ama,AMA,year,Subsector,PCC,ALLOT_QTY,total_use,Groundwater,Colorado_River,Effluent,Surface_Water ,Comm,PROGRAM_CODE,ACTIVE,Facility Type
C,Phoenix,1999,FACILITY TURF - SCHOOL,21-221105.0000,,100.27,0,0,0,39.84,60.43,21,Y,Turf Facilities
D,Pinal,2000,FACILITY CATTLE FEEDLOT,16-400083.0000,82,0,0,0,0,0,0,16,N,Cattle Feedlot
D,Pinal,2000,FACILITY CATTLE FEEDLOT,16-400086.0000,62,0,0,0,0,0,0,16,N,Cattle Feedlot
D,Pinal,2000,FACILITY CATTLE FEEDLOT,16-400088.0000,224,0,0,0,0,0,0,16,Y,Cattle Feedlot
D,Pinal,2000,FACILITY METAL MINING,11-400139.0000,1041,0,0,0,0,0,0,11,N,Metal Mining
D,Pinal,2000,FACILITY DAIRY,17-400163.0000,445,0,0,0,0,0,0,17,N,Dairy
D,Pinal,2000,FACILITY METAL MINING,11-400003.0000,2772,0,0,0,0,0,0,11,N,Metal Mining
D,Pinal,2000,FACILITY METAL MINING,11-400003.0000,2772,0,0,0,0,0,0,11,N,Metal Mining
D,Pinal,2000,FACILITY CATTLE FEEDLOT,16-400002.0000,36,0,0,0,0,0,0,16,N,Cattle Feedlot
D,Pinal,2000,FACILITY CATTLE FEEDLOT,16-400039.0000,246,0,0,0,0,0,0,16,N,Cattle Feedlot
C,Phoenix,2000,FACILITY TURF - PARK,20-220212.0000,38.32,0,0,0,0,0,0,20,N,Turf Facilities
D,Pinal,2000,FACILITY CATTLE FEEDLOT,16-400014.0000,98,0,0,0,0,0,0,16,Y,Cattle Feedlot
D,Pinal,2000,FACILITY METAL MINING,11-400131.0000,689,0,0,0,0,0,0,11,,Metal Mining
D,Pinal,2000,FACILITY DAIRY,17-400161.0000,310,0,0,0,0,0,0,17,Y,Dairy
D,Pinal,2000,FACILITY DAIRY,17-400165.0000,82,0,0,0,0,0,0,17,Y,Dairy
D,Pinal,2000,FACILITY DAIRY,17-400165.0000,82,0,0,0,0,0,0,17,Y,Dairy
D,Pinal,2000,FACILITY TURF - GOLF COURSE,25-400018.0000,1015,0,0,0,0,0,0,25,N,Turf Facilities
D,Pinal,2000,FACILITY TURF - GOLF COURSE,25-400018.0000,1015,0,0,0,0,0,0,25,N,Turf Facilities
