gc_name,status
aguila_golf_course,public
ahwatukee_country_club,semi-private
alta_mesa_country_club,private
ancala_gc,private
anthem_golf_and_country_club,private
apache_wells_country_club,private
arizona_biltmore_cc,resort
arizona_country_club,private
arizona_golf_resort,resort
arizona_traditions_gc,public
arrowhead_country_club,private
augusta_ranch_gc,public
bear_creek_gc,public
bellair_golf_club,public
blackstone_country_club,private
briarwood_country_club,private
camelback_gc,resort
cave_creek_gc,public
cimmaron_gc,public
club_west_gc,public
coldwater_springs_golf_club,public
continental_golf_course,public
copper_canyon_golf_club,public
coronado_golf_course,public
corte_bella_gc,semi-private
cottonwood_country_club,private
coyote_lakes,public
dc_ranch_country_club,private
desert_canyon_golf_club,public
desert_forest_gc,private
desert_highlands_gc,private
desert_mirage_gc,public
desert_mountain_golf_course,private
desert_sands_gc,public
dobson_ranch_gc,public
dove_valley_gc,public
eagle_mountain_golf_club,public
eagles_nest_golf_club,semi-private
encanto_golf_course,public
estancia_golf_club,private
estrella_golf_club,public
fiesta_lakes_gc,public
fire_rock_gc,private
foothills_gc,public
fountain_of_the_sun_gc,semi-private
gainey_ranch_golf_club,private
grand_canyon_university_golf_course,public
grayhawk_golf_club,public
great_eagle_golf_club,public
greenfield_lakes_gc,public
hillcrest_golf_club,public
ken_mcdonald_gc,public
kierland_gc,resort
kokopelli_gc,public
las_colinas_golf_course,public
las_sendas,semi-private
legend_trail_golf_course,public
leisure_world_golf_course,private
lone_tree_golf_course,semi-private
longbow_golf_course,public
los_caballeros_golf_club,semi-private
luke_falcon_dunes_gc,semi-private
mccormick_ranch_gc,public
mcdowell_mountain,public
mesa_country_club,private
moon_valley_cc,private
mountain_shadows_country_club,private
ocotillo_gc,public
orange_tree_resort,resort
painted_mountain_gc,public
palm_valley_golf_course,public
palmbrook_country_club,private
palo_verde_cc,private
palo_verde_gc,public
papago_gc,public
paradise_peak_gc,private
paradise_valley_country_club,private
paradise_valley_gc,public
peoria_pines,public
phantom_horse_gc,public
phoenix_country_club,private
pinnacle_peak_cc,private
pointe_on_lookout_mtn_gc,resort
pueblo_el_mirage_cc,public
quintero_country_club,public
rancho_manana_golf_club,resort
raven_golf_club,public
red_mountain_ranch_gc,private
rio_verde_gc_assoc,private
rolling_hills_gc,public
royal_palms_gc,public
san_marcos_resort,resort
scg_desert_springs,semi-private
scg_granite_falls,public
scr_east_gc,private
scr_north_gc,private
scr_quail_run,private
scr_riverview,private
scr_south_gc,private
scr_west_gc,private
scr_willowcreek,private
scw_deer_valley,private
scw_desert_trails,private
scw_echo_mesa,private
scw_grandview,private
scw_pebblebrook_gc,private
scw_stardust,private
scw_trailridge,private
seville_golf_course,semi-private
shalimar_country_club,public
silverado_golf_club,public
silverleaf_country_club,private
springfield_golf_course,public
starfire_golf_club,public
sterling_grove_country_club,private
stonecreek_gc,public
sun_city_country_club,private
sun_lakes_country_club_hoa1,private
sun_lakes_ironwood,semi-private
sun_lakes_oakwood_gc,semi-private
sun_ridge_canyon_gc,public
sun_village_resort,semi-private
sunbird_gc,public
sundance_golf_course,public
sunland_springs_gc,public
sunland_village_east_gc,public
sunland_village_gc,public
superstition_springs_gc,public
tatum_ranch_gc,private
terravita_golf_and_country_club,private
the_500_club,public
the_boulders_golf_club,private
the_golf_club_of_scottsdale,private
the_legacy_golf_resort,public
the_legend_at_arrowhead,public
the_mirabel_golf_club,private
the_phoenician_resort,resort
talking_stick,public
toka_sticks,public
tonto_verde_gc,semi-private
tpc_scottsdale,resort
tres_rios_golf_course,public
trilogy_golf_club_at_vistancia,public
trilogy_golf_course_at_power_ranch,public
troon_north,resort
troon_village_gc,private
tuscany_falls,public
union_hills_cc,private
verrado_golf_club,public
view_point_rv_and_golf_resort,semi-private
vista_verde_gc,public
wekopa_golf_club,public
westbrook_village_vistas_golf_club,semi-private
western_skies_gc,public
whirlwind_at_wildhorse_pass,resort
whisper_rock_gc,private
wickenburg_golf_club,public
wigwam_golf_and_cc,resort
wildfire_gc,resort
