gc_name,course,par,,
aguila_golf_course,aguila_18,72,,
ahwatukee_country_club,championship,72,,
ahwatukee_country_club,lakes,60,,
alta_mesa_country_club,,72,,
ancala_gc,,72,,
anthem_golf_and_country_club,persimmon,72,,
anthem_golf_and_country_club,ironwood,72,,
apache_wells_country_club,,71,,
arizona_biltmore_cc,adobe,72,,
arizona_biltmore_cc,links,71,,
arizona_country_club,,72,,
arizona_golf_resort,,71,,
arizona_traditions_gc,,70,,
arrowhead_country_club,,72,,
augusta_ranch_gc,,61,,
bear_creek_gc,bear,71,,
bear_creek_gc,cub,59,,
bellair_golf_club,,59,,
blackstone_country_club,,72,,
briarwood_country_club,,72,,
camelback_gc,padre,72,,
camelback_gc,ambiente,72,,
cave_creek_gc,,72,,
cimmaron_gc,,72,,
club_west_gc,,72,,
coldwater_springs_golf_club,,72,,
continental_golf_course,,60,,
corte_bella_gc,,72,,
cottonwood_country_club,,72,,
coyote_lakes,,71,,
dc_ranch_country_club,,71,,
desert_canyon_golf_club,,71,,
desert_forest_gc,,72,,
desert_highlands_gc,,72,,
desert_mountain_golf_course,chiricahua,72,,
desert_mountain_golf_course,apache_course,72,,
desert_mountain_golf_course,number_7,54,,
desert_mountain_golf_course,outlaw_course,72,,
desert_mountain_golf_course,geronimo,72,,
desert_mountain_golf_course,cochise,72,,
desert_mountain_golf_course,renegade_course,72,,
desert_sands_gc,,65,,
dobson_ranch_gc,,72,,
dove_valley_gc,,72,,
eagle_mountain_golf_club,,71,,
eagles_nest_golf_club,,72,,
encanto_golf_course,encanto_18,70,,
estancia_golf_club,,72,,
estrella_golf_club,,72,,
fire_rock_gc,,72,,
foothills_gc,,72,,
fountain_of_the_sun_gc,,63,,
grand_canyon_university_golf_course,,71,,
grayhawk_golf_club,talon,72,,
grayhawk_golf_club,raptor,72,,
great_eagle_golf_club,,72,,
greenfield_lakes_gc,,62,,
hillcrest_golf_club,,72,,
ken_mcdonald_gc,,72,,
kokopelli_gc,,72,,
las_colinas_golf_course,,71,,
las_sendas,,72,,
legend_trail_golf_course,,72,,
leisure_world_golf_course,coyote_run,73,,
leisure_world_golf_course,heron_lakes,62,,
lone_tree_golf_course,,71,,
longbow_golf_course,,71,,
los_caballeros_golf_club,,72,,
luke_falcon_dunes_gc,,71,,
mccormick_ranch_gc,palm,72,,
mccormick_ranch_gc,pine,72,,
mcdowell_mountain,,72,,
mesa_country_club,,72,,
moon_valley_cc,,72,,
mountain_shadows_country_club,,54,,
orange_tree_resort,,72,,
painted_mountain_gc,,70,,
palmbrook_country_club,,72,,
palo_verde_cc,,60,,
papago_gc,,72,,
paradise_peak_gc,,61,,
paradise_valley_country_club,,72,,
paradise_valley_gc,,61,,
peoria_pines,,63,,
phantom_horse_gc,,71,,
phoenix_country_club,,71,,
pinnacle_peak_cc,,72,,
pointe_on_lookout_mtn_gc,,72,,
pueblo_el_mirage_cc,,72,,
quintero_country_club,,72,,
rancho_manana_golf_club,,70,,
raven_golf_club,,72,,
red_mountain_ranch_gc,,72,,
rio_verde_gc_assoc,quail_run,72,,
rio_verde_gc_assoc,white_wing,72,,
rolling_hills_gc,,62,,
san_marcos_resort,,72,,
scg_desert_springs,,72,,
scg_granite_falls,south_course,72,,
scg_granite_falls,north_course,72,,
scr_east_gc,,60,,
scr_north_gc,,72,,
scr_riverview,,72,,
scr_south_gc,,71,,
scr_west_gc,,72,,
scr_willowcreek,regulation,72,,
scw_deer_valley,,72,,
scw_desert_trails,,61,,
scw_echo_mesa,,60,,
scw_grandview,,72,,
scw_pebblebrook_gc,,72,,
scw_stardust,,60,,
scw_trailridge,,72,,
seville_golf_course,,72,,
silverado_golf_club,,70,,
silverleaf_country_club,,72,,
springfield_golf_course,,61,,
starfire_golf_club,king_course,70,,
sterling_grove_country_club,,72,,
stonecreek_gc,,71,,
sun_city_country_club,,72,,
sun_lakes_country_club_hoa1,,60,,
sun_lakes_ironwood,,67,,
sun_ridge_canyon_gc,,71,,
sun_village_resort,,54,,
sunbird_gc,,66,,
sundance_golf_course,,72,,
sunland_village_east_gc,,62,,
sunland_village_gc,,63,,
superstition_springs_gc,,72,,
talking_stick,piipaash,71,,
talking_stick,oodham,70,,
tatum_ranch_gc,,72,,
terravita_golf_and_country_club,,72,,
the_500_club,,72,,
the_boulders_golf_club,north,72,,
the_boulders_golf_club,south,71,,
the_golf_club_of_scottsdale,mineshaft,72,,
the_golf_club_of_scottsdale,other_course,72,,
the_legacy_golf_resort,,71,,
the_legend_at_arrowhead,,72,,
the_mirabel_golf_club,,71,,
the_phoenician_resort,,71,,
toka_sticks,,72,,
tonto_verde_gc,ranch,72,,
tonto_verde_gc,peaks,72,,
tpc_scottsdale,champions_course,71,,
tpc_scottsdale,stadium_course,71,,
tres_rios_golf_course,,71,,
trilogy_golf_club_at_vistancia,,72,,
trilogy_golf_course_at_power_ranch,,71,,
troon_north,monument,72,,
troon_north,pinnacle,72,,
troon_village_gc,,72,,
tuscany_falls,west,72,,
tuscany_falls,east,72,,
union_hills_cc,,72,,
verrado_golf_club,founder_course,72,,
verrado_golf_club,victory_course,72,,
view_point_rv_and_golf_resort,championship,71,,
vista_verde_gc,,72,,
wekopa_golf_club,saguaro,71,,
wekopa_golf_club,cholla,72,,
westbrook_village_vistas_golf_club,vistas_course,72,,
westbrook_village_vistas_golf_club,lakes_course,71,,
western_skies_gc,,72,,
whirlwind_at_wildhorse_pass,cattail_course,72,,
whirlwind_at_wildhorse_pass,devil_claw,72,,
whisper_rock_gc,upper,72,,
whisper_rock_gc,lower,72,,
wickenburg_golf_club,,71,,
wigwam_golf_and_cc,red_course,72,,
wigwam_golf_and_cc,gold_course,72,,
wigwam_golf_and_cc,blue_course,70,,
wildfire_gc,palmer,72,,
wildfire_gc,faldo,71,,
